Expl2;Contador;Fecha;Lectura
EMUASA-MURCIA;D13TB014463;2017-09-29T00:14:19Z;6738147
EMUASA-MURCIA;D13TB014463;2017-09-29T01:14:19Z;6738147
EMUASA-MURCIA;D13TB014463;2017-09-29T02:14:19Z;6738147
EMUASA-MURCIA;D13TB014463;2017-09-29T03:14:19Z;6738147
EMUASA-MURCIA;D13TB014463;2017-09-29T04:14:20Z;6738147
EMUASA-MURCIA;D13TB014463;2017-09-29T05:14:20Z;6739824
EMUASA-MURCIA;D13TB014463;2017-09-29T06:14:20Z;6742144
EMUASA-MURCIA;D13TB014463;2017-09-29T07:14:20Z;6743515
EMUASA-MURCIA;D13TB014463;2017-09-29T08:14:10Z;6743515
EMUASA-MURCIA;D13TB014463;2017-09-29T09:14:10Z;6743515
EMUASA-MURCIA;D13TB014463;2017-09-29T10:14:10Z;6743515
EMUASA-MURCIA;D13TB014463;2017-09-29T11:14:10Z;6743515
EMUASA-MURCIA;D13TB014463;2017-09-29T12:14:14Z;6743516
EMUASA-MURCIA;D13TB014463;2017-09-29T13:14:14Z;6743516
EMUASA-MURCIA;D13TB014463;2017-09-29T14:14:14Z;6743516
EMUASA-MURCIA;D13TB014463;2017-09-29T15:14:14Z;6743516
EMUASA-MURCIA;D13TB014463;2017-09-29T16:14:15Z;6743517
EMUASA-MURCIA;D13TB014463;2017-09-29T17:14:15Z;6743517
EMUASA-MURCIA;D13TB014463;2017-09-29T18:14:15Z;6743517
EMUASA-MURCIA;D13TB014463;2017-09-29T19:14:15Z;6743517
EMUASA-MURCIA;D13TB014463;2017-09-29T20:14:07Z;6743517
EMUASA-MURCIA;D13TB014463;2017-09-29T21:14:07Z;6743518
EMUASA-MURCIA;D13TB014463;2017-09-29T22:14:07Z;6743518
EMUASA-MURCIA;D13TB014463;2017-09-29T23:14:07Z;6743518
EMUASA-MURCIA;D13TB014463;2017-09-30T00:14:18Z;6743518
EMUASA-MURCIA;D13TB014463;2017-09-30T01:14:18Z;6743518
EMUASA-MURCIA;D13TB014463;2017-09-30T02:14:18Z;6743518
